hpo_id,english,candidate,reference,simple,sacrebleu,`ter`,semsim
HP:0025727,Type 3 congenital pulmonary airway malformation,Malformación congénita de las vías aéreas pulmonares tipo 3,Malformación congénita de las vías respiratorias pulmonares tipo 3,0,59.7,88.9,98.0
HP:0025677,Fetal chylothorax,Quilotórax fetal,Quilotórax fetal,1,100.0,100.0,100.0
HP:0025678,Fetal hydrothorax,Hidrotórax fetal,Hidrotórax fetal,1,100.0,100.0,100.0
HP:0001989,Fetal akinesia sequence,Secuencia de aquinesia fetal,Secuencia de aquinesia fetal,1,100.0,100.0,100.0
HP:0410214,Hypercapnia in cord blood,Hipercapnia en la sangre del cordón umbilical,Hipercapnia en sangre de cordón,0,15.6,57.1,90.1
HP:0410215,Hypocapnia in cord blood,Hipocapnia en sangre del cordón umbilical,Hipocapnia en sangre de cordón,0,32.5,66.7,91.2
HP:0410212,Hyperoxemia in cord blood,Hiperoxemia en la sangre del cordón umbilical,Hiperoxemia en sangre de cordón,0,15.6,57.1,89.7
HP:0410213,Hypoxemia in cord blood,Hipoxemia en sangre del cordón umbilical,Hipoxemia en sangre de cordón,0,32.5,66.7,91.9
HP:0034209,Fetal subependymal hemorrhage,Hemorragia subependimaria fetal,Hemorragia subependimaria fetal,1,100.0,100.0,100.0
HP:0034214,Fetal intraventricular hemorrhage without ventriculomegaly,Hemorragia intraventricular fetal sin ventriculomegalia,Hemorragia intraventricular fetal sin ventriculomegalia,1,100.0,100.0,100.0
HP:0034218,Fetal intraventricular hemorrhage with ventriculomegaly,Hemorragia intraventricular fetal con ventriculomegalia,Hemorragia intraventricular fetal con ventriculomegalia,1,100.0,100.0,100.0
HP:0034219,Fetal intraventricular hemorrhage with periventricular hemorrhage,Hemorragia intraventricular fetal con hemorragia periventricular,Hemorragia intraventricular fetal con hemorragia periventricular,1,100.0,100.0,100.0
HP:0034215,Fetal cerebellar hemisphere hemorrhage,Hemorragia del hemisferio cerebeloso fetal,Hemorragia del hemisferio cerebeloso fetal,1,100.0,100.0,100.0
HP:0034216,Fetal cerebellar vermis hemorrhage,Hemorragia fetal del vermis cerebeloso,Hemorragia del vermis cerebeloso fetal,0,45.2,80.0,99.6
